timestamp,x,y,polarity
9376988,44,25,1
9377086,35,119,0
9377249,46,46,0
9377292,46,86,0
9377304,7,70,0
9377607,7,70,0
9377808,31,115,0
9377817,13,116,0
9377898,31,75,0
9377975,34,48,0
9377997,24,18,0
9378246,46,47,1
9378341,44,25,0
9378644,44,25,0
9378947,72,71,0
9379088,46,86,0
9379113,34,112,0
9379128,46,47,0
9379203,24,39,0
9379300,107,98,0
9379401,50,8,1
9379488,35,74,1
9379791,35,74,1
9380022,50,13,0
9380283,97,64,1
9380322,35,74,0
9380376,23,75,0
9380680,23,75,0
9380775,46,47,1
9381042,69,68,0
9381345,69,68,0
9381649,69,68,0
9381923,55,102,1
9381925,110,21,0
9382041,77,89,1
9382324,64,86,0
9382342,28,90,1
9382457,123,117,0
9382461,107,98,0
9382620,106,11,0
9382687,35,15,0
9382744,118,6,0
9382762,46,86,0
9382939,114,41,0
9382981,16,32,0
9383097,39,91,0
9383170,34,2,0
9383474,34,2,0
9383744,32,49,0
9383883,53,100,0
9384186,53,100,0
9384233,34,65,1
9384243,34,41,0
9384359,34,2,1
9384663,34,2,1
9384670,34,52,0
9384749,34,65,0
9385032,71,30,0
9385115,71,24,1
9385220,55,90,1
9385295,71,27,1
9385325,68,62,0
9385396,74,124,0
9385467,74,56,0
9385468,46,46,0
9385484,54,42,0
9385501,34,2,0
9385631,64,110,0
9385741,27,84,0
9385784,113,122,0
9385801,87,109,0
9385833,72,81,0
9385864,43,94,0
9385896,46,86,0
9385938,28,104,0
9385944,27,67,1
9386248,27,67,1
9386371,12,117,0
9386487,35,79,0
9386520,35,52,0
9386595,100,0,0
9386598,120,98,0
9386736,6,106,0
9386790,108,7,0
9386913,68,62,0
9386972,93,2,0
9386977,108,81,1
9387036,92,93,0
9387052,30,2,0
9387116,70,98,0
9387138,50,109,0
9387143,12,108,1
9387229,54,99,0
9387240,13,64,0
9387490,69,116,0
9387536,54,10,0
9387608,13,56,0
9387693,40,33,0
9387897,92,3,0
9387918,8,117,0
9387959,28,43,0
9388139,101,109,0
9388229,12,108,0
9388284,121,86,0
9388511,47,90,0
9388679,107,98,0
9388704,47,34,0
9388901,71,83,0
9388955,108,110,1
9388959,87,13,0
9389165,31,74,0
9389469,31,74,0
9389550,73,40,0
9389853,73,40,0
9389883,92,93,0
9389922,69,81,0
9390225,69,81,0
9390369,0,78,0
9390672,0,78,0
9390976,0,78,0
9391138,13,116,1
9391219,54,110,0
9391355,11,102,0
9391658,11,102,0
9391749,87,53,0
9391754,98,74,0
9391807,55,70,1
9391969,30,95,0
9392047,64,82,0
9392222,80,97,0
9392305,64,86,0
9392332,71,104,0
9392386,56,40,0
9392585,24,119,0
9392688,114,90,0
9392933,117,127,0
9393047,125,116,0
9393163,112,96,0
9393217,125,118,0
9393266,26,110,0
9393569,26,110,0
9393826,53,100,0
9393960,126,13,1
9394007,46,102,0
9394248,49,76,0
9394315,46,86,0
9394423,49,78,1
9394539,13,75,1
9394554,45,31,0
9394569,10,124,0
9394792,55,70,0
9395095,55,70,0
9395399,55,70,0
9395702,55,70,0
9395728,71,104,0
9396001,7,95,1
9396288,37,59,0
9396448,88,120,1
9396561,60,121,0
9396647,88,39,0
9396951,88,39,0
9397202,88,32,0
9397346,67,22,1
9397471,3,83,0
9397546,36,53,0
9397849,36,53,0
9397893,87,53,0
9397941,69,116,0
9397976,62,58,0
9398143,7,123,0
9398243,10,60,1
9398340,108,10,0
9398420,6,106,0
9398447,69,25,0
9398498,125,123,0
9398801,125,123,0
9398976,46,112,0
9399007,8,46,0
9399077,75,67,1
9399210,71,24,0
9399219,33,86,0
9399300,99,57,0
9399542,7,122,1
9399787,8,125,1
9399813,57,110,0
9399825,51,116,1
9399827,44,36,0
9400058,92,61,0
9400234,18,80,1
9400285,64,44,0
9400358,93,46,0
9400405,89,38,0
9400709,89,38,0
9400992,45,18,0
9401220,108,5,0
9401235,26,73,1
9401332,26,54,0
9401425,104,6,1
9401477,89,121,0
9401700,92,61,0
9401816,69,116,0
9402089,13,48,0
9402263,120,72,0
9402567,120,72,0
9402672,64,86,0
9402796,25,49,1
9403003,96,46,0
9403061,80,41,0
9403150,50,33,0
9403353,76,86,0
9403657,76,86,0
9403960,76,86,0
9404045,25,44,1
9404050,44,7,0
9404328,63,84,0
9404419,34,21,0
9404462,113,16,0
9404766,113,16,0
9404815,99,34,0
9404900,108,58,0
9405203,108,58,0
9405495,91,99,1
9405692,65,70,1
9405818,27,78,0
9405875,22,108,0
9406077,67,79,0
9406380,67,79,0
9406417,30,46,0
9406721,30,46,0
9407024,30,46,0
9407215,10,60,0
9407290,19,32,1
9407594,19,32,1
9407613,108,122,1
9407715,4,60,1
9407827,4,28,1
9407907,19,84,0
9408210,19,84,0
9408341,26,110,0
9408414,4,60,0
9408440,26,95,1
9408519,49,76,0
9408551,97,15,0
9408632,35,18,1
9408660,50,34,1
9408668,35,126,0
9408907,17,125,0
9409080,4,28,0
9409102,43,105,0
9409207,26,95,0
9409331,11,13,0
9409332,45,92,0
9409370,108,110,0
9409484,60,35,0
9409787,60,35,0
9409811,101,15,0
9409864,26,110,0
9410110,76,40,0
9410144,60,87,0
9410184,38,23,1
9410288,60,25,0
9410591,60,25,0
9410669,29,123,0
9410972,29,123,0
9411094,87,53,0
9411154,20,124,0
9411184,12,112,0
9411189,19,32,0
9411261,84,92,0
9411348,58,75,0
9411652,58,75,0
9411743,39,26,1
9411905,119,36,0
9412147,34,65,1
9412149,4,60,1
9412453,4,60,1
9412748,39,26,0
9412872,22,88,0
9413022,22,108,0
9413120,45,57,0
9413280,95,33,0
9413331,3,60,0
9413356,20,64,1
9413659,20,64,1
9413692,126,77,0
9413791,126,71,0
9414094,126,71,0
9414130,106,24,1
9414232,15,100,0
9414233,76,116,0
9414456,127,116,0
9414691,50,109,1
9414799,44,11,0
9414934,9,110,1
9414935,9,110,1
9415030,109,52,0
9415111,108,60,0
9415156,84,97,0
9415460,84,97,0
9415537,41,30,1
9415678,42,71,1
9415731,68,19,1
9415772,57,42,0
9415956,31,121,0
9415979,43,121,1
